index_decile,visit_decile,visiting_med,visiting_mean
1,1,0.0030635503,0.0064465359
1,2,0.0022621534,0.0039577222
1,3,0.0021174115,0.0029330799
1,4,0.0017013632,0.0022993053
1,5,0.0017211244,0.0022514721
1,6,0.001739449,0.002305717
1,7,0.0016807523,0.0022116649
1,8,0.0015511337,0.0020239341
1,9,0.0015136847,0.0019880792
1,10,0.0014775871,0.0019213633
2,1,0.0022525397,0.0041320702
2,2,0.0022542921,0.0046179313
2,3,0.0020756576,0.0036954373
2,4,0.0018049898,0.0026721763
2,5,0.0017334724,0.0025356837
2,6,0.00179259,0.0025527266
2,7,0.0017152543,0.0023574274
2,8,0.0016040159,0.0021303172
2,9,0.0016051364,0.0021311721
2,10,0.0016220679,0.0021793495
3,1,0.002013253,0.0027653383
3,2,0.0019509973,0.0032573053
3,3,0.0019794604,0.0038037125
3,4,0.0018181968,0.0031463564
3,5,0.0017708598,0.0027876629
3,6,0.0017977601,0.0026348614
3,7,0.0017890294,0.0024449473
3,8,0.0016768748,0.002352705
3,9,0.0016747531,0.0023568788
3,10,0.0016335461,0.0021432712
4,1,0.002778753,0.0036089555
4,2,0.0026923603,0.0038034968
4,3,0.0027973827,0.0043577573
4,4,0.0027061542,0.0042885436
4,5,0.0026629391,0.0041675253
4,6,0.002671195,0.0040829366
4,7,0.0026749079,0.0040507672
4,8,0.0025283923,0.0033207808
4,9,0.0024097665,0.0031727117
4,10,0.0023994614,0.0030632535
5,1,0.0030830362,0.0040439807
5,2,0.0029909988,0.0041809168
5,3,0.003218448,0.0052785123
5,4,0.0031399379,0.0053345869
5,5,0.0030376151,0.0051128412
5,6,0.0031910768,0.0048969432
5,7,0.003097978,0.0048712767
5,8,0.0028985507,0.0045337503
5,9,0.0029539991,0.0044109819
5,10,0.0028555134,0.0039693726
6,1,0.0022906254,0.0031567078
6,2,0.0021884984,0.0032253052
6,3,0.0022087396,0.003697588
6,4,0.0022244423,0.0040011273
6,5,0.0021916109,0.0039252839
6,6,0.002153114,0.0042023255
6,7,0.0021957527,0.0041442564
6,8,0.0021045237,0.0035223447
6,9,0.0021367716,0.0033940887
6,10,0.0020693908,0.0028977509
7,1,0.0023840993,0.0033141251
7,2,0.0023640662,0.0033430825
7,3,0.0024868692,0.0035600279
7,4,0.0023470895,0.0039285718
7,5,0.0023900619,0.0039638952
7,6,0.0024567637,0.0047603618
7,7,0.0023920942,0.0043726466
7,8,0.002313237,0.0037555582
7,9,0.0024371167,0.0037009036
7,10,0.0021949183,0.0032352578
8,1,0.002767419,0.0034522275
8,2,0.0027984312,0.0036113832
8,3,0.0028657304,0.0037333252
8,4,0.0028931843,0.0041399591
8,5,0.0028873013,0.0039831741
8,6,0.0029252276,0.0042318766
8,7,0.0029004095,0.0045082794
8,8,0.003058104,0.0050338706
8,9,0.0030824276,0.0047456227
8,10,0.0029325513,0.0039014783
9,1,0.0026739688,0.0046408402
9,2,0.0026021237,0.0038645554
9,3,0.0028352038,0.0044152074
9,4,0.0028341496,0.0047376603
9,5,0.0029419911,0.0050068899
9,6,0.0029813956,0.0055950891
9,7,0.0030127007,0.0060621595
9,8,0.0029852843,0.0052733305
9,9,0.0032150797,0.0068029235
9,10,0.0032023794,0.0065325944
10,1,0.0031186802,0.0046167785
10,2,0.0031347962,0.0043487749
10,3,0.0033766925,0.0046230422
10,4,0.0031855221,0.0044624137
10,5,0.003157171,0.0048188887
10,6,0.0033520054,0.0047104306
10,7,0.0032419422,0.0048831857
10,8,0.003370144,0.0051313373
10,9,0.0037156871,0.0064327378
10,10,0.0042390835,0.008003828
