"decile","R.rho.g","phi.0","R.phi.0.g"
"1",0.958801342489009,0.721925548468235,1.0789696017199
"2",0.924910418684931,0.721925548468235,1.06934426321688
"3",0.960314480820031,0.721925548468235,1.04881940160453
"4",0.987704135219723,0.721925548468235,1.02576977246004
"5",0.982716306915674,0.721925548468235,1.03572878707603
"6",0.964286240414185,0.721925548468235,1.016156686971
"7",0.991306740288653,0.721925548468235,1.02801026667772
"8",1.0008014744463,0.721925548468235,1.00608717621139
"9",1.09102321824314,0.721925548468235,0.906220688658505
"10",1.13813564247835,0.721925548468235,0.784893355404005
