decile,age,pop,cat
1,<12,214131,1
1,12-15,74572,1
1,16-39,496739,1
1,40-49,198196,1
1,50-59,194891,1
1,60-65,93723,1
1,66-69,49829,1
1,70-75,60465,1
1,76-79,28320,1
1,80+,51394,1
2,<12,187999,1
2,12-15,67396,1
2,16-39,467930,1
2,40-49,192823,1
2,50-59,214411,1
2,60-65,110200,1
2,66-69,58173,1
2,70-75,70417,1
2,76-79,31468,1
2,80+,61170,1
3,<12,185665,1
3,12-15,64663,1
3,16-39,473113,1
3,40-49,195631,1
3,50-59,199826,1
3,60-65,99244,1
3,66-69,52794,1
3,70-75,64378,1
3,76-79,29666,1
3,80+,55158,1
4,<12,184854,1
4,12-15,63298,1
4,16-39,478849,1
4,40-49,192887,1
4,50-59,206636,1
4,60-65,110236,1
4,66-69,59320,1
4,70-75,71502,1
4,76-79,32698,1
4,80+,58203,1
5,<12,185799,1
5,12-15,64293,1
5,16-39,476968,1
5,40-49,196493,1
5,50-59,205847,1
5,60-65,108014,1
5,66-69,59289,1
5,70-75,72144,1
5,76-79,32278,1
5,80+,55668,1
6,<12,183972,1
6,12-15,64960,1
6,16-39,483232,1
6,40-49,201494,1
6,50-59,219474,1
6,60-65,115102,1
6,66-69,63374,1
6,70-75,79053,1
6,76-79,36777,1
6,80+,66220,1
7,<12,172343,1
7,12-15,60062,1
7,16-39,450987,1
7,40-49,190347,1
7,50-59,200798,1
7,60-65,107124,1
7,66-69,60820,1
7,70-75,76649,1
7,76-79,34878,1
7,80+,61285,1
8,<12,184323,1
8,12-15,66172,1
8,16-39,443508,1
8,40-49,188761,1
8,50-59,206142,1
8,60-65,110066,1
8,66-69,61140,1
8,70-75,76046,1
8,76-79,34526,1
8,80+,59899,1
9,<12,182871,1
9,12-15,63522,1
9,16-39,429195,1
9,40-49,179846,1
9,50-59,223259,1
9,60-65,133776,1
9,66-69,75813,1
9,70-75,93467,1
9,76-79,41974,1
9,80+,65349,1
10,<12,168556,1
10,12-15,56941,1
10,16-39,400443,1
10,40-49,166042,1
10,50-59,221976,1
10,60-65,146316,1
10,66-69,83763,1
10,70-75,103258,1
10,76-79,45869,1
10,80+,72945,1
1,<12,214131,2
1,12-15,74572,2
1,16-39,496739,2
1,40-49,198196,2
1,50-59,194891,2
1,60-64,79531,2
1,65-69,64021,2
1,70-74,52278,2
1,75-79,36507,2
1,80+,51394,2
2,<12,187999,2
2,12-15,67396,2
2,16-39,467930,2
2,40-49,192823,2
2,50-59,214411,2
2,60-64,93653,2
2,65-69,74720,2
2,70-74,61101,2
2,75-79,40784,2
2,80+,61170,2
3,<12,185665,2
3,12-15,64663,2
3,16-39,473113,2
3,40-49,195631,2
3,50-59,199826,2
3,60-64,84430,2
3,65-69,67608,2
3,70-74,55604,2
3,75-79,38440,2
3,80+,55158,2
4,<12,184854,2
4,12-15,63298,2
4,16-39,478849,2
4,40-49,192887,2
4,50-59,206636,2
4,60-64,93673,2
4,65-69,75883,2
4,70-74,62091,2
4,75-79,42109,2
4,80+,58203,2
5,<12,185799,2
5,12-15,64293,2
5,16-39,476968,2
5,40-49,196493,2
5,50-59,205847,2
5,60-64,91568,2
5,65-69,75735,2
5,70-74,62453,2
5,75-79,41969,2
5,80+,55668,2
6,<12,183972,2
6,12-15,64960,2
6,16-39,483232,2
6,40-49,201494,2
6,50-59,219474,2
6,60-64,97418,2
6,65-69,81058,2
6,70-74,68093,2
6,75-79,47737,2
6,80+,66220,2
7,<12,172343,2
7,12-15,60062,2
7,16-39,450987,2
7,40-49,190347,2
7,50-59,200798,2
7,60-64,90151,2
7,65-69,77793,2
7,70-74,66220,2
7,75-79,45307,2
7,80+,61285,2
8,<12,184323,2
8,12-15,66172,2
8,16-39,443508,2
8,40-49,188761,2
8,50-59,206142,2
8,60-64,92917,2
8,65-69,78289,2
8,70-74,65665,2
8,75-79,44907,2
8,80+,59899,2
9,<12,182871,2
9,12-15,63522,2
9,16-39,429195,2
9,40-49,179846,2
9,50-59,223259,2
9,60-64,112740,2
9,65-69,96849,2
9,70-74,81232,2
9,75-79,54209,2
9,80+,65349,2
10,<12,168556,2
10,12-15,56941,2
10,16-39,400443,2
10,40-49,166042,2
10,50-59,221976,2
10,60-64,122992,2
10,65-69,107087,2
10,70-74,89770,2
10,75-79,59357,2
10,80+,72945,2
