decile,group,age,pop
1,1,<12,214131
1,1,12-15,74572
1,1,16-39,496739
1,1,40-49,198196
1,1,50-59,194891
1,1,60-65,93723
1,1,66-69,49829
1,1,70-75,60465
1,1,76-79,28320
1,1,80+,51394
2,2,<12,187999
2,2,12-15,67396
2,2,16-39,467930
2,2,40-49,192823
2,2,50-59,214411
2,2,60-65,110200
2,2,66-69,58173
2,2,70-75,70417
2,2,76-79,31468
2,2,80+,61170
3,3,<12,185665
3,3,12-15,64663
3,3,16-39,473113
3,3,40-49,195631
3,3,50-59,199826
3,3,60-65,99244
3,3,66-69,52794
3,3,70-75,64378
3,3,76-79,29666
3,3,80+,55158
4,4,<12,184854
4,4,12-15,63298
4,4,16-39,478849
4,4,40-49,192887
4,4,50-59,206636
4,4,60-65,110236
4,4,66-69,59320
4,4,70-75,71502
4,4,76-79,32698
4,4,80+,58203
5,5,<12,185799
5,5,12-15,64293
5,5,16-39,476968
5,5,40-49,196493
5,5,50-59,205847
5,5,60-65,108014
5,5,66-69,59289
5,5,70-75,72144
5,5,76-79,32278
5,5,80+,55668
6,6,<12,183972
6,6,12-15,64960
6,6,16-39,483232
6,6,40-49,201494
6,6,50-59,219474
6,6,60-65,115102
6,6,66-69,63374
6,6,70-75,79053
6,6,76-79,36777
6,6,80+,66220
7,7,<12,172343
7,7,12-15,60062
7,7,16-39,450987
7,7,40-49,190347
7,7,50-59,200798
7,7,60-65,107124
7,7,66-69,60820
7,7,70-75,76649
7,7,76-79,34878
7,7,80+,61285
8,8,<12,184323
8,8,12-15,66172
8,8,16-39,443508
8,8,40-49,188761
8,8,50-59,206142
8,8,60-65,110066
8,8,66-69,61140
8,8,70-75,76046
8,8,76-79,34526
8,8,80+,59899
9,9,<12,182871
9,9,12-15,63522
9,9,16-39,429195
9,9,40-49,179846
9,9,50-59,223259
9,9,60-65,133776
9,9,66-69,75813
9,9,70-75,93467
9,9,76-79,41974
9,9,80+,65349
10,10,<12,168556
10,10,12-15,56941
10,10,16-39,400443
10,10,40-49,166042
10,10,50-59,221976
10,10,60-65,146316
10,10,66-69,83763
10,10,70-75,103258
10,10,76-79,45869
10,10,80+,72945
